INFO:root:
Started
INFO:root:Batch 128, Batch Loss 1.319144

INFO:root:Batch 129, Batch Loss 0.054161

INFO:root:Batch 130, Batch Loss 2.074584

INFO:root:Batch 131, Batch Loss 0.061571

INFO:root:Batch 132, Batch Loss 0.140342

INFO:root:Batch 133, Batch Loss 0.668065

INFO:root:Batch 134, Batch Loss 0.313199

INFO:root:Batch 135, Batch Loss 1.508720

INFO:root:Batch 136, Batch Loss 1.471596

INFO:root:Batch 137, Batch Loss 1.995935

INFO:root:Batch 138, Batch Loss 1.412918

INFO:root:Batch 139, Batch Loss 0.381526

INFO:root:Batch 140, Batch Loss 0.968018

INFO:root:Batch 141, Batch Loss 0.453580

INFO:root:Batch 142, Batch Loss 0.795008

INFO:root:Batch 143, Batch Loss 1.238169

INFO:root:Batch 144, Batch Loss 0.228871

INFO:root:Batch 145, Batch Loss 0.073454

INFO:root:Batch 146, Batch Loss 0.937019

INFO:root:Batch 147, Batch Loss 0.250044

INFO:root:Batch 148, Batch Loss 0.656752

INFO:root:Batch 149, Batch Loss 1.630275

INFO:root:Batch 150, Batch Loss 0.000000

INFO:root:Batch 151, Batch Loss 0.402766

INFO:root:Batch 152, Batch Loss 1.817475

INFO:root:Batch 153, Batch Loss 0.402264

INFO:root:Batch 154, Batch Loss 1.027797

INFO:root:Batch 155, Batch Loss 0.000000

INFO:root:Batch 156, Batch Loss 0.000000

INFO:root:Batch 157, Batch Loss 1.103937

INFO:root:Batch 158, Batch Loss 0.564471

INFO:root:Batch 159, Batch Loss 2.282252

INFO:root:Batch 160, Batch Loss 0.000000

INFO:root:Batch 161, Batch Loss 0.000000

INFO:root:Batch 162, Batch Loss 0.780983

INFO:root:Batch 163, Batch Loss 0.043641

INFO:root:Batch 164, Batch Loss 0.240824

INFO:root:Batch 165, Batch Loss 0.948535

INFO:root:Batch 166, Batch Loss 0.868459

INFO:root:Batch 167, Batch Loss 0.475296

INFO:root:Batch 168, Batch Loss 0.256602

INFO:root:Batch 169, Batch Loss 0.654846

INFO:root:Batch 170, Batch Loss 0.270313

INFO:root:Batch 171, Batch Loss 0.188651

INFO:root:Batch 172, Batch Loss 0.189374

INFO:root:Batch 173, Batch Loss 0.370212

INFO:root:Batch 174, Batch Loss 0.000000

INFO:root:Batch 175, Batch Loss 1.158476

INFO:root:Batch 176, Batch Loss 0.851427

INFO:root:Batch 177, Batch Loss 0.127194

INFO:root:Batch 178, Batch Loss 0.123951

INFO:root:Batch 179, Batch Loss 0.279142

INFO:root:Batch 180, Batch Loss 0.813404

INFO:root:Batch 181, Batch Loss 1.123914

INFO:root:Batch 182, Batch Loss 0.302230

INFO:root:Batch 183, Batch Loss 0.104790

INFO:root:Batch 184, Batch Loss 0.270948

INFO:root:Batch 185, Batch Loss 1.249832

INFO:root:Batch 186, Batch Loss 1.791257

INFO:root:Batch 187, Batch Loss 0.897814

INFO:root:Batch 188, Batch Loss 0.151245

INFO:root:Batch 189, Batch Loss 1.862539

INFO:root:Batch 190, Batch Loss 0.811702

INFO:root:Batch 191, Batch Loss 0.074290

INFO:root:Batch 192, Batch Loss 0.058432

INFO:root:Batch 193, Batch Loss 0.495309

INFO:root:Batch 194, Batch Loss 0.110177

INFO:root:Batch 195, Batch Loss 0.042012

INFO:root:Batch 196, Batch Loss 0.000000

INFO:root:Batch 197, Batch Loss 2.515543

INFO:root:Batch 198, Batch Loss 0.925177

INFO:root:Batch 199, Batch Loss 3.296036

INFO:root:Batch 200, Batch Loss 1.395276

INFO:root:Batch 201, Batch Loss 0.673831

INFO:root:Batch 202, Batch Loss 0.139186

INFO:root:Batch 203, Batch Loss 2.569833

INFO:root:Batch 204, Batch Loss 0.224400

INFO:root:Batch 205, Batch Loss 0.284102

INFO:root:Batch 206, Batch Loss 0.307423

INFO:root:Batch 207, Batch Loss 0.267295

INFO:root:Batch 208, Batch Loss 2.028057

INFO:root:Batch 209, Batch Loss 0.497622

